Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Openjobmetis Varese,Nicolò Virginio,2,20,2,1,2,50.00000,0,5,0.00000,0,0,,1,0,0,0,1,0,3,0
Openjobmetis Varese,Toney Douglas,26,804,383,53,98,54.08163,77,211,36.49289,46,59,77.96610,17,111,103,55,31,3,59,-77
UNAHOTELS Reggio Emilia,Alberto Besozzi,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
UNAHOTELS Reggio Emilia,Brandon Taylor,28,897,416,81,177,45.76271,62,169,36.68639,68,82,82.92683,6,74,134,85,36,2,58,-68
UNAHOTELS Reggio Emilia,Brynton Lemar,9,234,110,21,50,42.00000,16,39,41.02564,20,26,76.92308,5,19,16,15,6,0,16,-35
UNAHOTELS Reggio Emilia,Carlo Porfilio,2,2,0,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0
UNAHOTELS Reggio Emilia,Dominique Sutton,4,55,16,4,18,22.22222,1,2,50.00000,5,9,55.55556,0,15,4,3,0,0,10,-8
UNAHOTELS Reggio Emilia,Federico Bonacini,13,76,10,2,7,28.57143,2,7,28.57143,0,0,,3,8,5,7,1,0,16,-49
UNAHOTELS Reggio Emilia,Filippo Baldi Rossi,28,629,206,55,109,50.45872,22,65,33.84615,30,37,81.08108,40,87,42,39,21,1,61,-34
UNAHOTELS Reggio Emilia,Frank Elegar,24,628,256,93,134,69.40299,0,0,,70,96,72.91667,67,123,21,45,17,28,60,-122
UNAHOTELS Reggio Emilia,Henry Sims,7,138,88,31,53,58.49057,2,8,25.00000,20,23,86.95652,14,37,9,17,5,2,15,-9
UNAHOTELS Reggio Emilia,Ibrahima Cham,1,9,0,0,0,,0,0,,0,0,,0,1,0,1,0,1,3,-4
UNAHOTELS Reggio Emilia,Jacopo Soliani,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
UNAHOTELS Reggio Emilia,Janis Blums,4,30,6,0,1,0.00000,2,8,25.00000,0,0,,0,2,1,1,1,0,4,-8
UNAHOTELS Reggio Emilia,Joshua Bostic,18,499,247,27,78,34.61538,46,125,36.80000,55,64,85.93750,13,57,35,36,22,3,58,-17
UNAHOTELS Reggio Emilia,Justin Johnson,20,435,142,54,110,49.09091,6,26,23.07692,16,30,53.33333,29,83,26,18,11,2,45,-70
UNAHOTELS Reggio Emilia,Leonardo Candi,28,670,233,50,102,49.01961,28,75,37.33333,49,56,87.50000,15,47,68,37,30,5,88,-99
UNAHOTELS Reggio Emilia,Marco Giannini,5,7,2,1,1,100.00000,0,0,,0,0,,0,1,0,0,0,0,1,2
UNAHOTELS Reggio Emilia,Mouhamet Rassoul Diouf,24,338,67,21,48,43.75000,2,17,11.76471,19,31,61.29032,22,42,9,16,7,6,39,-39
UNAHOTELS Reggio Emilia,Petteri Koponen,11,260,99,5,17,29.41176,27,65,41.53846,8,8,100.00000,1,22,27,8,1,0,18,-32
UNAHOTELS Reggio Emilia,Tomas Kyzlink,27,718,224,57,119,47.89916,26,92,28.26087,32,45,71.11111,21,48,43,33,14,1,76,-103
Umana Reyer Venezia,Alvise Minincleri,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Umana Reyer Venezia,Andrea De Nicolao,35,865,271,39,76,51.31579,55,157,35.03185,28,38,73.68421,16,40,102,63,26,4,94,74
Umana Reyer Venezia,Austin Daye,33,712,386,70,146,47.94521,61,118,51.69492,63,77,81.81818,13,132,67,62,16,16,88,16
Umana Reyer Venezia,Bruno Cerella,23,144,29,6,13,46.15385,5,24,20.83333,2,2,100.00000,15,11,14,4,9,1,17,-7
Umana Reyer Venezia,Curtis Jerrells,5,78,47,6,8,75.00000,8,29,27.58621,11,14,78.57143,1,8,6,4,3,0,4,-48
